,0,1,2
52,37.90021907451613,-122.36989607741936,1||20
53,37.90021907451613,-122.36243476129032,1||21
54,37.90021907451613,-122.35497344516129,1||22
55,37.90021907451613,-122.34751212903225,1||23
56,37.90021907451613,-122.34005081290323,1||24
57,37.90021907451613,-122.33258949677419,1||25
58,37.90021907451613,-122.32512818064517,1||26
59,37.90021907451613,-122.31766686451613,1||27
60,37.90021907451613,-122.3102055483871,1||28
61,37.90021907451613,-122.30274423225806,1||29
62,37.90021907451613,-122.29528291612904,1||30
63,37.90021907451613,-122.2878216,1||31
64,37.892757759032264,-122.5191224,2||0
65,37.892757759032264,-122.51166108387096,2||1
66,37.892757759032264,-122.50419976774194,2||2
67,37.892757759032264,-122.4967384516129,2||3
68,37.892757759032264,-122.48927713548387,2||4
69,37.892757759032264,-122.48181581935484,2||5
70,37.892757759032264,-122.47435450322581,2||6
71,37.892757759032264,-122.46689318709677,2||7
72,37.892757759032264,-122.45943187096775,2||8
73,37.892757759032264,-122.45197055483871,2||9
74,37.892757759032264,-122.44450923870968,2||10
75,37.892757759032264,-122.43704792258065,2||11
76,37.892757759032264,-122.42958660645161,2||12
77,37.892757759032264,-122.42212529032258,2||13
78,37.892757759032264,-122.41466397419354,2||14
79,37.892757759032264,-122.40720265806452,2||15
80,37.892757759032264,-122.39974134193548,2||16
81,37.892757759032264,-122.39228002580646,2||17
82,37.892757759032264,-122.38481870967742,2||18
83,37.892757759032264,-122.3773573935484,2||19
84,37.892757759032264,-122.36989607741936,2||20
85,37.892757759032264,-122.36243476129032,2||21
86,37.892757759032264,-122.35497344516129,2||22
87,37.892757759032264,-122.34751212903225,2||23
88,37.892757759032264,-122.34005081290323,2||24
89,37.892757759032264,-122.33258949677419,2||25
90,37.892757759032264,-122.32512818064517,2||26
91,37.892757759032264,-122.31766686451613,2||27
92,37.892757759032264,-122.3102055483871,2||28
93,37.892757759032264,-122.30274423225806,2||29
94,37.892757759032264,-122.29528291612904,2||30
95,37.892757759032264,-122.2878216,2||31
96,37.88529644354839,-122.5191224,3||0
97,37.88529644354839,-122.51166108387096,3||1
98,37.88529644354839,-122.50419976774194,3||2
99,37.88529644354839,-122.4967384516129,3||3
100,37.88529644354839,-122.48927713548387,3||4
101,37.88529644354839,-122.48181581935484,3||5
102,37.88529644354839,-122.47435450322581,3||6
103,37.88529644354839,-122.46689318709677,3||7
104,37.88529644354839,-122.45943187096775,3||8
105,37.88529644354839,-122.45197055483871,3||9
106,37.88529644354839,-122.44450923870968,3||10
107,37.88529644354839,-122.43704792258065,3||11
108,37.88529644354839,-122.42958660645161,3||12
109,37.88529644354839,-122.42212529032258,3||13
110,37.88529644354839,-122.41466397419354,3||14
111,37.88529644354839,-122.40720265806452,3||15
112,37.88529644354839,-122.39974134193548,3||16
113,37.88529644354839,-122.39228002580646,3||17
114,37.88529644354839,-122.38481870967742,3||18
115,37.88529644354839,-122.3773573935484,3||19
116,37.88529644354839,-122.36989607741936,3||20
117,37.88529644354839,-122.36243476129032,3||21
118,37.88529644354839,-122.35497344516129,3||22
119,37.88529644354839,-122.34751212903225,3||23
120,37.88529644354839,-122.34005081290323,3||24
121,37.88529644354839,-122.33258949677419,3||25
122,37.88529644354839,-122.32512818064517,3||26
123,37.88529644354839,-122.31766686451613,3||27
124,37.88529644354839,-122.3102055483871,3||28
125,37.88529644354839,-122.30274423225806,3||29
126,37.88529644354839,-122.29528291612904,3||30
127,37.88529644354839,-122.2878216,3||31
128,37.87783512806452,-122.5191224,4||0
129,37.87783512806452,-122.51166108387096,4||1
130,37.87783512806452,-122.50419976774194,4||2
131,37.87783512806452,-122.4967384516129,4||3
132,37.87783512806452,-122.48927713548387,4||4
133,37.87783512806452,-122.48181581935484,4||5
134,37.87783512806452,-122.47435450322581,4||6
135,37.87783512806452,-122.46689318709677,4||7
136,37.87783512806452,-122.45943187096775,4||8
137,37.87783512806452,-122.45197055483871,4||9
138,37.87783512806452,-122.44450923870968,4||10
139,37.87783512806452,-122.43704792258065,4||11
140,37.87783512806452,-122.42958660645161,4||12
141,37.87783512806452,-122.42212529032258,4||13
142,37.87783512806452,-122.41466397419354,4||14
143,37.87783512806452,-122.40720265806452,4||15
144,37.87783512806452,-122.39974134193548,4||16
145,37.87783512806452,-122.39228002580646,4||17
146,37.87783512806452,-122.38481870967742,4||18
147,37.87783512806452,-122.3773573935484,4||19
